Vlad_kd,Serge_kd,Dima_kd,Vlad_peak,Serge_peak,Dima_peak,Won
3.5,1.18,1.83,2,0,3,1
2.56,1,1.42,2,0,3,1
1,1.21,1.38,2,0,1,0
1.47,1.25,0.56,2,0,3,0
1.93,0.79,0.9,2,0,3,1
2,0.95,0.84,2,0,3,1
1.9,2.23,0.9,2,0,3,1
0.78,1.35,1.2,2,0,1,1
1.9,2.6,1.5,2,0,3,1
2.3,0.8,0.9,2,0,3,1
1.67,1.9,1.2,2,0,3,1
1,0.8,1,2,0,3,0
1.5,1.1,1.3,2,0,3,1
1.46,1.36,0.73,2,0,3,1
1.6,1.69,0.45,2,0,3,1
2.2,2,1.28,2,0,0,1
1.54,1.2,1.29,2,0,1,1
1.7,0.86,0.92,0,0,0,1
1.3,1.05,0.92,2,0,3,1
1.36,1.14,0.85,0,0,3,0
0.5,0.76,0.68,2,0,1,0
1.42,1.47,1.36,2,0,0,1
1.7,0.7,0.6,2,0,1,0
1.5,0.8,1,2,0,3,1
0.88,0.6,1.06,0,0,3,0
1.05,0.61,1.13,2,0,3,0
0.75,0.76,0.72,2,0,3,0
2.15,0.76,0.75,2,0,1,1
1.9,1.23,0.5,1,0,3,1
1.375,1.18,0.68,1,0,3,0
2.3,1.43,2.33,2,0,1,1
2.07,1.10,1.7,2,0,1,1
1.6,1.18,0.58,3,0,1,0
2.63,1.35,0.93,2,0,1,1
3,1.69,1.07,2,0,1,1
1.64,0.84,1.11,2,0,3,0
2.26,1.17,1.76,2,0,3,1
1.81,1.52,1,2,0,3,1
1.55,0.61,1.05,2,0,3,1
1.56,1.48,1.8,2,0,3,1
2.05,1.2,1.24,2,0,3,1
0.75,1.06,0.53,2,0,3,0
1.75,0.63,0.71,0,0,3,0
0.53,0.81,0.33,3,0,1,0
0.79,1.05,1.5,2,0,0,1
1.33,0.72,0.86,2,0,3,1



